mmsi,name,id,station,kuljettu,huolto
230125910,Kutteri L139,L139,Harmaja,34782,50000
230125940,Kutteri L140,L140,Harmaja,15303,45000
230017340,Kutteri L145,L145,Harmaja,14023,70000
230022010,Kutteri L147,L147,Harmaja,50221,45000
230114690,Nopea luotsivene L225,L225,Harmaja,24782,60000
230986740,Nopea luotsivene L228,L228,Harmaja,14712,30000
230012280,Nopea luotsivene L231,L231,Harmaja,16722,25000
230021990,Nopea luotsivene L237,L237,Harmaja,44732,50000
230035440,Nopea luotsivene L239,L239,Harmaja,34744,52000
